id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14502993,Cozy condo in Lincoln Square,5892784,Alin,,Lincoln Square,41.97881683626422,-87.68925654250928,Entire home/apt,85,3,10,2017-05-08,1.20,2,158
1641696,Spacious Room in an Elegant Condo,8716277,Nirajan,,Lincoln Square,41.96811348064494,-87.6957070340098,Private room,90,2,28,2016-06-27,0.63,1,277
5737004,Cozy and Quiet 1BD in Ravenswood,29751294,Elliot,,Lincoln Square,41.972822302998004,-87.67561765798807,Entire home/apt,85,2,4,2015-08-12,0.16,1,0
4065067,"Spacious, sunny apartment in Ravenswood.",180712,Paul & Andrew,,Lincoln Square,41.970437339266454,-87.67429182139792,Private room,200,1,10,2016-07-02,0.32,3,364
17843825,"Luxury, Comfort & Convenience in Lincoln Square",120753561,Tonya,,Lincoln Square,41.96684430612521,-87.69561356834944,Entire home/apt,142,2,1,2017-05-08,1,1,230
5036709,Lincoln Square Apartment,25891622,Monica,,Lincoln Square,41.96786398021255,-87.68569856367702,Entire home/apt,195,3,12,2017-05-07,0.66,1,340
10879699,Entire Two Bedroom Condo,36722941,Dan,,Lincoln Square,41.97489789244205,-87.69006250336243,Entire home/apt,94,1,68,2017-05-07,4.85,3,189
15909282,Great private room!  Near Lincoln Square,67043161,Dana,,Lincoln Square,41.972047623047665,-87.69619014378998,Private room,40,1,1,2016-12-31,0.23,1,140
15024349,"3bd, 2ba Spacious Lincoln Square apt. w/Parking",94845987,Greg,,Lincoln Square,41.976418890114076,-87.69174181406935,Entire home/apt,205,1,17,2017-05-09,2.37,1,55
16826474,Entire 3BR 2BA Lincoln Square Condo with Parking,111964625,Kiem,,Lincoln Square,41.976383264522596,-87.69683175155068,Entire home/apt,85,1,12,2017-05-07,6.32,1,46
7869796,Chicago 2 Bedroom Condo,41168909,Sean,,Lincoln Square,41.9729372020891,-87.69583443182859,Entire home/apt,180,2,11,2016-11-06,0.65,1,197
9565600,Private room/bath in Hyde Park,33398630,Ashley,,Hyde Park,41.80067723920879,-87.6042097003641,Private room,65,1,31,2017-05-06,2.32,1,319
15028822,One bedroom/bath historic Hyde Park,91946836,Jordan,,Hyde Park,41.798220371211244,-87.59989149324457,Private room,70,1,30,2017-04-29,3.81,1,313
5414283,Don't You Deserve a Lil Pampering? Lush Bed Awaits,2768284,Cherie,,Hyde Park,41.79898995311189,-87.58972592225145,Private room,59,1,88,2017-04-24,3.47,1,332
13734276,Hyde Park Row House,58914390,Leslee,,Hyde Park,41.79676997990677,-87.60356061280135,Entire home/apt,140,3,6,2017-04-23,0.64,2,147
6513021,Vintage HydePark condo,34053113,Victoria,,Hyde Park,41.80054176200225,-87.59809883100297,Private room,70,2,25,2016-11-06,1.06,1,334
15799391,Convenient and Cozy One Bedroom in Hyde Park,102199818,LaShaya,,Hyde Park,41.79593506792933,-87.5881759619127,Entire home/apt,42,2,3,2017-04-23,0.67,1,34
17283213,Hyde Park Spacious Apartment,55114392,Cesar,,Hyde Park,41.801741469121254,-87.60017584782874,Entire home/apt,110,2,5,2017-05-01,2.50,1,46
3318359,Hyde Park Rooms2,16752312,Sue,,Hyde Park,41.801735769987005,-87.5928972299562,Private room,45,2,40,2016-10-16,1.15,2,337
8610501,1 Bedroom in Hyde Park,37417772,Landon,,Hyde Park,41.79536984526335,-87.58279166682917,Entire home/apt,120,1,19,2017-04-14,1.58,1,305
15060745,"Artful Comforts in the Hyde Park, close to University and Hospital",94839103,Eli,,Hyde Park,41.796809822772126,-87.59664608840984,Entire home/apt,60,1,12,2017-05-02,1.71,1,58
1558897,Hyde Park One Bdrm Apt ($85/night for 31 days),8297284,T. Renee,,Hyde Park,41.80027775970933,-87.59360310051946,Entire home/apt,95,7,19,2017-03-11,0.51,2,192
3907071,2 A Walk in Hyde Park,2140,Lois And Ed,,Hyde Park,41.79554928034754,-87.59174204714971,Private room,37,2,34,2017-03-11,1.09,5,290
16099092,Hippie Haven in Hyde Park,37192808,Masha,,Hyde Park,41.79869004632558,-87.59680280426927,Entire home/apt,65,1,10,2017-04-29,2.33,1,19
13074067,Close to campus roomy apartment - Room 1,72485034,Richard,,Hyde Park,41.79142522693997,-87.5952720029817,Private room,30,3,4,2016-09-08,0.38,2,9
4011519,1 A Hyde Park Co-op living,2140,Lois And Ed,,Hyde Park,41.79535660813484,-87.59219207169836,Private room,30,2,13,2016-11-19,0.44,5,313
10205972,spacious private room in Hyde Park,46517751,Lucy (And Gabe),,Hyde Park,41.79924958432323,-87.58460980248914,Private room,46,3,33,2017-04-24,3.69,1,90
3984079,5 Sabbatical in Hyde Park,2140,Lois And Ed,,Hyde Park,41.797181868929385,-87.59378732765927,Entire home/apt,150,2,8,2016-10-09,0.59,5,102
349265,Historic Chicago Home - Hyde Park,1517871,Jon,,Hyde Park,41.80085959609879,-87.58948398453863,Entire home/apt,375,7,7,2014-04-24,0.12,1,191
18523998,Beautiful lakefront apartment for the summer,1239159,Owen,,Hyde Park,41.79658319293284,-87.58244843480682,Entire home/apt,120,14,0,,,1,101
5810433,Modern 2BR HydePark Condo w/Parking,30147790,Pamela,,Hyde Park,41.800020742730425,-87.600558565758,Entire home/apt,270,2,13,2016-09-19,0.54,1,166
13430510,"Down Town Hyde Park, Beach, University of Chicago",76588517,Vlad,,Hyde Park,41.7994730068439,-87.58847903452947,Private room,100,1,0,,,1,365
15067403,Cozy affordable Private place to sleep n relax,93535931,Cleo,,Hyde Park,41.80109539787558,-87.58423868916235,Private room,83,1,8,2017-05-07,1.12,2,82
2604454,Cozy Single-Family Home near University of Chicago,13339125,Greg,,Hyde Park,41.78977182006379,-87.58915969086446,Entire home/apt,191,1,65,2017-04-17,1.94,3,8
13892983,Close to campus roomy apartment - Room 2,72485034,Richard,,Hyde Park,41.79143466760462,-87.59387668676642,Private room,29,5,2,2016-09-11,0.25,2,0
13892310,U of C campus rooms,12728248,Judy,,Hyde Park,41.79511695141663,-87.60210675655648,Private room,70,5,0,,,1,148
13282293,1 bedroom in spacious nice apartment,2996074,Pin,,Hyde Park,41.80127660213982,-87.60134829524675,Private room,65,5,0,,,1,0
16023745,Hyde Park Hideaway near University of Chicago,20413901,Amelia,,Hyde Park,41.79973027152439,-87.59070527537153,Private room,24,1,16,2017-04-20,4.71,1,18
17676950,Classic Chicago Apt with quiet room,90713856,Tricia,,Hyde Park,41.79782338202944,-87.58494647214363,Private room,45,1,6,2017-04-30,3.33,1,5
15250951,Really nice 2-bedroom Suite with free parking,20538405,Baila,,Hyde Park,41.79073902745949,-87.59575274198758,Private room,85,2,12,2017-04-17,1.71,2,131
10610,3 Comforts of Cooperative Living,2140,Lois And Ed,,Hyde Park,41.79708495075886,-87.59194893566665,Private room,35,2,23,2017-04-16,0.74,5,293
3984383,The West Room near U of Chicago,13339125,Greg,,Hyde Park,41.78980451654141,-87.58960685316734,Private room,94,1,42,2016-09-17,1.32,3,0
12153109,Classic Rowhouse with Patio and BBQ,9499059,Bennett,,Hyde Park,41.79564410768564,-87.5985577428959,Entire home/apt,195,3,5,2016-11-27,0.45,2,25
14888126,Prime Location Cozy Apartment in Hyde Park,79920214,Leah,,Hyde Park,41.79141428869351,-87.5938034127954,Private room,60,1,10,2017-05-07,7.69,1,14
13857415,Really nice private room and bathroom with parking,20538405,Baila,,Hyde Park,41.790197961781786,-87.59800872546802,Private room,95,2,28,2017-04-28,2.83,2,326
